Trotter_steps,circuit_layers,Final_fidelity
2,1,0.2671912337671072
2,2,0.29930187707868616
2,3,0.4672826706464117
2,4,0.49021810413830447
2,5,0.5694408754157984
2,6,0.6083068881884416
2,7,0.676817236937629
2,8,0.7995607350315361
2,9,0.8697573968701211
2,10,0.873126128806921
2,11,0.9540077656616697
2,12,0.9565515477432917
2,13,0.9714637206493937
2,14,0.9775279727555034
2,15,0.9833166950178909
2,16,0.9445327484472423
2,17,0.9841384122947983
2,18,0.9943006290571198
2,19,0.9903655970074893
2,20,0.9951377115191107
2,21,0.9985543308619055
2,22,0.9995653008390941
2,23,0.9994992046415835
2,24,0.99920177372864
2,25,0.9996989611385294
2,26,0.9996353964363365
2,27,0.9998125113856076
